name,relation,note
Ferrowollastonite,Wollastonite,An iron-rich variety of wollastonite with iron partially replacing the calcium
Ferrowyllieite,Wyllieite,"As a mineral with dominant ferrous iron, and its relation to wyllieite."
Ferruginous Microcline,Microcline,A Fe-rich variety of Microcline
Ferruginous Quartz,Quartz,"A variety of quartz colored red, brown, or yellow by inclusions of hematite or limonite, and usually massive and opaque."
Fersilicite,,After its chemical composition
Feruvite,Uvite,"For iron (FERrum), in the formula and the similarity to uvite."
Fervanite,,Named for its content of FERric iron and VANadium.
Fetiasite,,"For Fe, Ti, As in its composition."
Fibroferrite,,For the fibrous habit and essential ferric iron.
Fleisstalite,,The Fe2+ equivalent of gravegliaite
Florencite-(Ce),,"For the dominant rare earth element, cerium."
Florencite-(La),,For a florencite with lanthanum as the dominant rare earth element.
Florencite-(Nd),,For a florencite with neodymium as the dominant rare earth element.
Florencite-(Sm),,As the Sm-dominant example of the florencite structure.
Fluoborite,,"For the essential chemical components, FLUOrine and BORon."
Fluocerite-(Ce),,"In allusion to its composition containing FLUOrine and CERium, plus the ""-(Ce)"" suffix due to cerium being the dominant rare earth element (REE)"
Fluocerite-(La),Fluocerite-(Ce),As the lanthanum analog of fluocerite-(Ce).
Fluor-dravite,Dravite,As a dravite with dominant fluorine in the W site.
Fluor-elbaite,Elbaite,As an elbaite with dominant fluorine in the W site.
Fluor-feruvite,Feruvite,Hypothetical F-analogue of feruvite.
Fluor-hornblende,Hornblende,A petrological term for hornblendes dominant in fluorine over hydroxyl but with intermediate/undetermined Fe:Mg ratios.
Fluor-lepidomelane,Lepidomelane,A variety of Lepidomelane
Fluor-liddicoatite,Liddicoatite,For being the F-analogue of liddicoatite
Fluor-schorl,Schorl,As the F-analogue of schorl.
Fluor-tsilaisite,Tsilaisite,Represents the fluorine-dominant analog of tsilaisite.
Fluor-uvite,,Chemical prefix indicates the Fluorine presence
Fluorannite,Annite,"In allusion to the composition, containing dominant fluorine, and its chemical relationship to Annite"
Fluorapatite,Apatite,For dominant fluorine and membership in the apatite group
Fluorapophyllite-(Cs),Apophyllite,As a chemical variant of Apophyllite Group with Cs
Fluorapophyllite-(K),Apophyllite,"For the preponderance of fluuorine in the composition, and apophyllite"
Fluorapophyllite-(Na),Apophyllite,"For sodium, natrium, in the composition, and its relation to other apophyllite species."
Fluorapophyllite-(NH4),Fluorapophyllite Root,Ammonium dominant fluorapophyllite.
Fluorarrojadite-(BaFe),Arrojadite,As the F-analogue of arrojadite with barium and ferrous in the composition
Fluorarrojadite-(BaNa),Arrojadite,"As the F-analogue of arrojadite with sodium, natrium and barium, in the composition"
Fluorarrojadite-(KNa),Arrojadite,"As the F-analogue of arrojadite with potassium, natrium, in the composition"
Fluorarrojadite-(NaFe),Arrojadite,"As the F-analogue of arrojadite with iron, natrium, in the composition"
Fluorbarytolamprophyllite,Lamprophyllite,As the F-analogue of lamprophyllite with barium in the composition
Fluorbritholite-(Ce),Britholite-(Ce),Named for its relationship to britholite-(Ce) with the fluorine content.
Fluorbritholite-(Y),Britholite-(Y),As the fluorine-dominant analogue of britholite-(Y).
Fluorcalciobritholite,Calciobritholite,As the F-analogue of calciobritholite
Fluorcalciomicrolite,Microlite,For a member of the microlite group with dominant fluorine in the Y structural site and calcium in the A structural site.
Fluorcalciopyrochlore,Pyrochlore Group,For the chemical composition and relation to pyrochlore (now a generic name).
Fluorcalcioroméite,Roméite,For a member of the roméite group with dominant fluorine in the Y structural site and calcium in the A structural site.
Fluorcanasite,Canasite,For canasite and its fluorine content.
Fluorcaphite,,"For FLUORine, CAlcium, and PHosphorus in the composition"
Fluorcarletonite,Carletonite,For being the F analogue of carletonite
Fluorcarmoite-(BaNa),,"""Carmoite"" is a new rootname for the Mg-dominant series of the arrojadite group. The ""BaNa"" suffix informs about the dominance of the particular elements at the corresponding structural sites."
Fluorchegemite,Chegemite,Indicates the fluorine-dominant analog of chegemite.
Fluorellestadite,Ellestadite,For fluorine in the chemical composition and analogy to ellestadite.
Fluorhydropyrochlore,Hydropyrochlore,As a F analogue of hydropyrochlore
Fluorian Phlogopite,Phlogopite,A F-bearing variety of phlogopite.
Fluorkenopyrochlore,Kenopyrochlore Root,As a F analogue of kenopyrochlore
Fluorkyuygenite,Chlorkyuygenite,The F analogue of chlorkyuygenite
Fluorlamprophyllite,Lamprophyllite,For a member of the lamprophyllite group with dominant fluorine in the chemical composition
Fluorluanshiweiite,Luanshiweiite,The fluorine analogue of luanshiweiite
Fluormayenite,Mayenite,Indicates the fluorine-dominant analog of mayenite.
Fluornatrocoulsellite,,Indicates the fluorine in its composition.
Fluornatromicrolite,Microlite,As a member of the microlite group with dominant fluorine (fluor) at an anion site and sodium (natro) in the A structural site.
Fluornatropyrochlore,Pyrochlore Group,As a member of the pyrochlore supergroup with dominant fluorine in the Y site and sodium in the A site.
Fluornatroroméite,Roméite,As a mamber of roméite group
Fluoro-alumino-magnesiotaramite,Magnesiotaramite,The fluorine analogue of Magnesiotaramite
Fluoro-aluminoleakeite,Fluoro-leakeite,This mineral was first published as fluoro-aluminoleakeite
Fluoro-arfvedsonite,Arfvedsonite,The arfvedsonite group minerals
Fluoro-barroisite,Barroisite,The barroisite group minerals
Fluoro-cannilloite,Cannilloite,"In allusion to its composition, with FLUORine dominant over hydroxyl and its relationship to Cannilloite."
Fluoro-eckermannite,Eckermannite,The eckermannite group minerals
Fluoro-edenite,Edenite,"In allusion to its composition, with dominant fluorine and its relationship to Edenite."
Fluoro-glaucophane,Glaucophane,Fluoro-glaucophane is defined as a member of the glaucophane group with Mg>Fe2+ in the C2+ position and F in the W position.
Fluoro-hastingsite,Hastingsite,The hastingsite-group minerals
Fluoro-katophorite,Katophorite,The katophorite group minerals
Fluoro-leakeite,Leakeite,For its composition and relationship to leakeite.
Fluoro-magnesiohastingsite,Magnesio-hastingsite,The fluorine analogue of Magnesio-hastingsite
Fluoro-nybøite,Nybøite,Named as the fluorine-dominant member of the nyboitic amphiboles.
Fluoro-oxy-ferri-magnesiokatophorite,Katophorite,"As Fe, F, O and Mg analogue of katophorite"
Fluoro-pargasite,Pargasite,Signifies an amphibole in the compositional range of pargasite with F > OH in the W structural site.
Fluoro-pedrizite,Pedrizite,For being the F-analogue of pedrizite.
Fluoro-richterite,Richterite,For its relationship to richterite.
Fluoro-riebeckite,Riebeckite,Defined as a member of the riebeckite group with fluorine in its composition.
Fluoro-sadanagaite,Sadanagaite,The sadanagaite group minerals
Fluoro-sodic-ferropedrizite,Sodic-ferropedrizite,The fluorine analogue of Sodic-ferropedrizite
Fluoro-sodic-pedrizite,Pedrizite,As a Na and F dominated member of Pedrizite Root Name Group
Fluoro-taramite,Taramite,The taramite group minerals with fluorine.
Fluoro-tremolite,Tremolite,For the chemical relationship to tremolite.
Fluoro-tschermakite,Tschermakite,Fluoro-tschermakite is defined as a tschermakite group member with the following dominant elements:  C position: Mg as the dominant divalent cation and Al as the dominant trivalent cation. W position: F as the dominant anion
Fluoro-winchite,Winchite,The winchite-group minerals
Fluorocronite,,"For the composition, fluoro (for fluorine) and cron (the alchemical name for lead)."
Fluorokinoshitalite,Kinoshitalite,For the mineral kinoshitalite and its fluorine content.
Fluorophlogopite,Phlogopite,In allusion to being fluorine dominant phlogopite.
Fluorotetraferriphlogopite,Phlogopite,"In allusion to its composition and crystal structure, containing iron 3+ cations (FERRIc, from Latin ferrum = 'iron') in TETRAhedrally coordinated sites, and its chemical relationship to phlogopite"
Fluorowardite,Wardite,The fluorine analog of wardite; with the prefix 'fluoro-' rather than 'fluor-' to make pronunciation more straightforward.
Fluorphosphohedyphane,Phosphohedyphane,F-analogue of Phosphohedyphane.
Fluorplumbopyrochlore,Plumbopyrochlore Root,As a F analogue of plumbopyrochlore
Fluorstrontiopyrochlore,Pyrochlore Group,As a mamber of pyrochlore group
Fluorstrophite,,"The current name reflects the composition, including dominant fluorine, strontium, and phosphate."
Fluorthalénite-(Y),Thalénite-(Y),As a F analogue of Gasparite-(Ce)
Fluorvesuvianite,Vesuvianite,For its relation to vesuvianite and the fluoride dominance over hydroxide in its chemical composition.
Fluorwavellite,Wavellite,As the fluorine analog of wavellite and with > 1 F per formula unit .
Formicaite,,For its chemical composition: the FORMIate of CAlcium.
Franciscanite-III,Franciscanite,As a variety of Franciscanite
Françoisite-(Ce),Françoisite,Named for the relation to Françoisite.
Françoisite-(Nd),Françoisite,Named for the relation to Françoisite.
Ga-rich plumbogummite,Plumbogummite,Ga-rich plumbogummite
Gadolinite-(Ce),Gadolinite,For its cerium content and relation to gadolinite.
Gadolinite-(Nd),Gadolinite,For its Nd content and relation to gadolinite.
Gadolinite-(Y),Gadolinite,For its Y content and relation to gadolinite.
Gagarinite-(Ce),Gagarinite,For its cerium content and relation to Gagarinite.
Gagarinite-(Y),Gagarinite,For its Y content and relation to Gagarinite.
Gahnospinel,Spinel,A variety of spinel rich in zinc. May grade into gahnite.
Galenobismutite,,In allusion to galena and bismuth in its composition.
Galgenbergite-(Ce),,"The suffix is added for the dominant rare earth element, Cerium."
Gallite,,For the mineral's gallium content.
Gallobeudantite,,For its predominant gallium content as a member of the beudantite group.
Galloplumbogummite,,Reflects dominant essential gallium and the mineral's structural relation to plumbogummite.
Garronite-Ca,Garronite,"After the approval of the new mineral garronite-Na (IMA 2015-015) the name garronite refers to a series name, and the mineral formerly referred to as garronite was renamed garronite-Ca."
Garronite-Na,Garronite,Na-analogue of garronnite first described from Northern Ireland.
Gasparite-(La),Gasparite-(Ce),As a La analogue of Gasparite-(Ce)
Ge-Sn-Sulvanite,Sulvanite,A variety of sulvanite with significant contents of both germanium (up to 6 wt.-%) and tin (up to 3.6 wt.-%).
Gearksutite,Arksutite,"In allusion to arksutite (= chiolite), originally thought to be a mineral that gearksutite closely resembled in composition."
Germanate-analcime,Analcime,An artificial Analcime with Ge in place of Si
Germanate-celsian,Celsian,An artificial analogue of celsian with Ge in place of Si.
Germanate-leucite,Leucite,An artificial analogue of Leucite with Ge in place of Si
Germanate-natrolite,Natrolite,An artificial Natrolite with Ge in place of Si
Germanate-nepheline,Nepheline,An syntetic Nepheline with Ge in place of Si
Germanate-pyromorphite,Pyromorphite,An artificial analogue of Pyromorphite
Germanate-sodalite,Sodalite,An artificial Sodalite with Ge in place of Si
Germanite,,For the germanium content of the mineral.
Germanocolusite,Colusite,For its germanium content and relation to colusite.
Giraudite-(Zn),,As a Zn variety of Tetrahedrite group
Gismondine-Ba,Gismondine,The Ba analogue of gismondine
Gismondine-Ca,Gismondine,the suffix for the dominant extra-framework cation
Gjerdingenite-Ca,Gjerdingenite Root,Signifies the structural analog of gjerdingenite-Mn with dominant Ca in the D structural site.
Gjerdingenite-Fe,Gjerdingenite Root,"The dominant Fe at a lattice position, according to the labuntsovite nomenclature."
Gjerdingenite-Mn,Gjerdingenite Root,"The dominant cation (Mn) in the D site of the structure, according to the labuntsovite group nomenclature."
Gjerdingenite-Na,Gjerdingenite Root,Signifies the structural analog of gjerdingenite-Fe with dominant Na in the D structural site.
Glauberite,,"In allusion to Glauber's Salt (Na2SO4), the synthetic equivalent of the dominant chemical component, named for Johann Rudolf Glauber (1604-1668), German alchemist."
Gmelinite-Ca,Gmelinite,Ca-analogue of gmelinite
Gmelinite-K,Gmelinite,For the mineral's K content and its relationsip to gmelinite
Gmelinite-Na,Gmelinite,For its predominant Na content as a member of the gmelinite group.
Gold Amalgam,,Due to the chemical composition
Goldamalgam (of Chen et al.),Amalgam,Named as the gold dominent analoge of amalgam.
Graftonite-(Ca),Graftonite,For a member of the Graftonite Group
Graftonite-(Mn),Graftonite,For a member of the Graftonite Group
Gramaccioliite-(Y),,"A suffix to designate the dominant rare earth element, Yttrium."
Hafnian Zircon,Zircon,A hafnium-bearing variety of zircon with insufficient hafnium to constitute hafnon.
Hafnon,Zircon,"In allusion to its composition, being a silicate of HAFNium, and ending in ""ON"" in allusion to, and to be consistent with, its relationship to ZircON."
Hagendorfite-(Na)(Na),Hagendorfite,"For a member of the Alluaudite Group with the formula (M(2)4(M(1)4X(1)4X(2)4(PO4)-[_][_] where the dominant cation occupancies are: M(2) = Fe#2+#, M(1) = Mn#2+#, X(2) = Na, and X(1) = Na."
Hainite-(Y),Hainite,In allusion to Y content and relationship to Hainite
Hakite-(Hg),,As a Hg variety of Tetrahedrite group
Hellandite-(Ce),Hellandite,Defined as a Ce-dominant mineral distinct from Hellandite
Hellandite-(Gd),Hellandite,As a Gd variety of Hellandite
Hellandite-(Y),Hellandite,Suffix added by IMA adoption of Levinson's Rule regarding rare earth element dominant minerals. Related to Hellandite
Hellandite-(Yb),Hellandite,As a Yb analogue of Hellandite
Hendekasartorite,Sartorite,As a member of Sartorite homologous series
Heulandite-Ba,Heulandite,For its chemical composition and relationship to other heulandite minerals.
Heulandite-Ca,Heulandite,For its chemical composition and relationship to other heulandite minerals.
Heulandite-K,Heulandite,For its chemical composition and relationship to other heulandite minerals.
Heulandite-Na,Heulandite,For its chemical composition and relationship to other heulandite minerals.
Heulandite-Sr,Heulandite,For its chemical composition and relationship to other heulandite minerals.
Hexaferrum,,"For its composition, containing essential iron (Latin = FERRUM)."
"Hexaferrum (Fe,Ir)",Hexaferrum,A variety of Hexaferrum rich in Iridium
"Hexaferrum (Fe,Os)",Hexaferrum,A variety of Hexaferrum rich in Osmium.
"Hexaferrum (Fe,Ru)",Hexaferrum,A variety of Hexaferrum rich in Ru
Hexahydrite,,HYDR for water
Hexahydroborite,,"For the composition, originally thought to contain six waters of hydration (later found by crystal-structure analysis to be incorrect)."
Hexatestibiopanickelite,,"in allusion to its chemical composition, containing TEllurium, antimony (Latin = STIBIum), PAlladium and NICKEL."
Hibonite-(Fe),Hibonite,For the mineral hibonite and it's iron content.
